Cygwin Package Information
Package                    Version                   	Status
libxml2                    2.10.4-2                       OK
libxxhash0                 0.8.3-1                        OK
libzstd1                   1.5.7-1                        OK
login                      1.13-1                         OK
make                       4.4.1-2                        OK
man-db                     2.13.1-1                       OK
mintty                     3.8.1-1                        OK
ncurses                    6.5+20240427-1                 OK
nginx                      1.28.0-1                       OK
openssh                    10.0p1-1                       OK
openssl                    3.0.17-1                       OK
p11-kit                    0.23.20-1                      OK
p11-kit-trust              0.23.20-1                      OK
perl-Error                 0.17030-1                      OK
perl-TermReadKey           2.38-5                         OK
perl_autorebase            5.40.3-1                       OK
perl_base                  5.40.3-1                       OK
pinentry                   1.1.1-1                        OK
pkg-config                 2.5.1-1                        OK
pkgconf                    2.5.1-1                        OK
publicsuffix-list-dafsa    20250501-1                     OK
python312                  3.12.9-1                       OK
python312-babel            2.16.0-1                       OK
python312-certifi          2025.1.31-1                    OK
python312-chardet          5.2.0-1                        OK
python312-devel            3.12.9-1                       OK
python312-idna             3.10-1                         OK
python312-iniconfig        2.0.0-2                        OK
python312-packaging        24.2-2                         OK
python312-pip              25.0.1-2                       OK
python312-pluggy           1.5.0-1                        OK
python312-pytest           8.3.4-1                        OK
python312-requests         2.32.3-1                       OK
python312-setuptools       75.8.0-1                       OK
python312-toml             0.10.2-3                       OK
python312-typing_extension 4.12.2-1                       OK
python312-urllib3          2.3.0-1                        OK
python312-wheel            0.45.1-1                       OK
python312-zipp             3.21.0-1                       OK
rebase                     4.6.6-1                        OK
rsync                      3.3.0-1                        OK
run                        1.3.4-2                        OK
sed                        4.9-1                          OK
shared-mime-info           2.4-1                          OK
tar                        1.35-2                         OK
terminfo                   6.5+20240427-1                 OK
tmux                       3.3a-1.20240122gitea7136fb     OK
tzcode                     2025b-1                        OK
tzdata                     2025b-1                        OK
util-linux                 2.40.2-2                       OK
vim                        9.1.1054-1                     OK
vim-common                 9.1.1054-1                     OK
vim-minimal                9.1.1054-1                     OK
w32api-headers             13.0.0-1                       OK
w32api-runtime             13.0.0-1                       OK
wget                       1.25.0-1                       OK
which                      2.23-1                         OK
windows-default-manifest   6.4-2                          OK
xxd                        9.1.1054-1                     OK
xz                         5.8.1-1                        OK
zlib0                      1.3.1-1                        OK
zsh                        5.8-1                          OK
zstd                       1.5.7-1                        OK
